# Temperature,Density,Energy,Phase
0,-0.15,0.012145,liquid
0,-0.1,0.005364,liquid
0,-0.05,0.001364,liquid
0,-0.02,0.000239,liquid
0,0.02,-0.010425,square
0,0.05,-0.011826,square
0,0.07,-0.007242,triangle
0,0.1,-0.007176,triangle
0,0.12,-0.006588,triangle
0,0.18,-0.002156,triangle
0,0.2,0.000218,triangle
0,0.22,0.003042,triangle
0,0.24,0.006313,triangle
0,0.26,0.010027,triangle
0,0.01,-0.000328,liquid
0,0.03,-0.011007,square
0,0.04,-0.011474,square
0.2,-0.15,0.012145,liquid
0.2,-0.1,0.005364,liquid
0.2,-0.05,0.001364,liquid
0.2,-0.02,0.000239,liquid
0.2,0.02,-0.010231,square
0.2,0.05,-0.011624,square
0.2,0.07,-0.006901,triangle
0.2,0.1,-0.006812,triangle
0.2,0.12,-0.006211,triangle
0.2,0.18,-0.00175,triangle
0.2,0.2,0.000632,triangle
0.2,0.22,0.003461,triangle
0.2,0.24,0.006736,triangle
0.2,0.26,0.010453,triangle
0.2,0.01,1.6E-05,liquid
0.2,0.03,-0.01081,square
0.2,0.04,-0.011275,square
0.4,-0.15,0.012145,liquid
0.4,-0.1,0.005364,liquid
0.4,-0.05,0.001364,liquid
0.4,-0.02,0.000239,liquid
0.4,0.02,-0.009659,square
0.4,0.05,-0.011029,square
0.4,0.07,-0.005912,triangle
0.4,0.1,-0.005753,triangle
0.4,0.12,-0.005112,triangle
0.4,0.18,-0.000563,triangle
0.4,0.2,0.001839,triangle
0.4,0.22,0.004685,triangle
0.4,0.24,0.007974,triangle
0.4,0.26,0.0117,triangle
0.4,0.01,3.4E-05,liquid
0.4,0.03,-0.01023,square
0.4,0.04,-0.010686,square
0.6,-0.15,0.012145,liquid
0.6,-0.1,0.005364,liquid
0.6,-0.05,0.001364,liquid
0.6,-0.02,0.000239,liquid
0.6,0.02,0.000161,liquid
0.6,0.05,-0.01007,square
0.6,0.07,-0.010388,square
0.6,0.1,-0.004099,triangle
0.6,0.12,-0.003391,triangle
0.6,0.18,0.001309,triangle
0.6,0.2,0.003747,triangle
0.6,0.22,0.006622,triangle
0.6,0.24,0.009933,triangle
0.6,0.26,0.013677,triangle
0.6,0.01,3.4E-05,liquid
0.6,0.03,-0.009299,square
0.6,0.04,-0.009741,square
0.8,-0.15,0.012145,liquid
0.8,-0.1,0.005364,liquid
0.8,-0.05,0.001364,liquid
0.8,-0.02,0.000239,liquid
0.8,0.02,0.000165,liquid
0.8,0.05,-0.0088,square
0.8,0.07,-0.009086,square
0.8,0.1,-0.00867,square
0.8,0.12,-0.007826,square
0.8,0.18,0.003715,triangle
0.8,0.2,0.006204,triangle
0.8,0.22,0.009122,triangle
0.8,0.24,0.012466,triangle
0.8,0.26,0.016235,triangle
0.8,0.01,3.4E-05,liquid
0.8,0.03,0.000364,liquid
0.8,0.04,-0.008489,square
1,-0.15,0.012145,liquid
1,-0.1,0.005364,liquid
1,-0.05,0.001364,liquid
1,-0.02,0.000239,liquid
1,0.02,0.000165,liquid
1,0.05,-0.00728,square
1,0.07,-0.007524,square
1,0.1,-0.007059,square
1,0.12,-0.006194,square
1,0.18,-0.000927,square
1,0.2,0.001713,square
1,0.22,0.004791,square
1,0.24,0.015378,triangle
1,0.26,0.019187,triangle
1,0.01,3.4E-05,liquid
1,0.03,0.000394,liquid
1,0.04,0.000638,liquid
1.2,-0.15,0.012145,liquid
1.2,-0.1,0.005364,liquid
1.2,-0.05,0.001364,liquid
1.2,-0.02,0.000239,liquid
1.2,0.02,0.000165,liquid
1.2,0.05,0.001078,liquid
1.2,0.07,-0.005778,square
1.2,0.1,-0.005249,square
1.2,0.12,-0.004353,square
1.2,0.18,0.000956,square
1.2,0.2,0.003594,square
1.2,0.22,0.006662,square
1.2,0.24,0.010156,square
1.2,0.26,0.01407,square
1.2,0.01,3.4E-05,liquid
1.2,0.03,0.000395,liquid
1.2,0.04,0.000721,liquid
1.4,-0.15,0.012145,liquid
1.4,-0.1,0.005364,liquid
1.4,-0.05,0.001364,liquid
1.4,-0.02,0.000239,liquid
1.4,0.02,0.000165,liquid
1.4,0.05,0.001144,liquid
1.4,0.07,-0.003881,square
1.4,0.1,-0.003322,square
1.4,0.12,-0.002384,square
1.4,0.18,0.00299,square
1.4,0.2,0.005632,square
1.4,0.22,0.008696,square
1.4,0.24,0.012178,square
1.4,0.26,0.016074,square
1.4,0.01,3.4E-05,liquid
1.4,0.03,0.000395,liquid
1.4,0.04,0.000721,liquid
